OEM,MODEL,ARCH,SENSOR_TYPE,UBOOT_POSTFIX,IPDEVICE_TYPE,SUB_MODEL,SENSOR,FIRMWARE_FILE_PREFIX,VO_CVBS,CDS_MODE,CDS_DEFAULT,AUDIO_IN,AUDIO_OUT,SENSOR_IN,ALARM_OUT,SD_CARD,WEB_PLAYBACK,IR_PWM,SUPPORT_H265,SUPPORT_MFZ,SUPPORT_PIRIS,SPECIAL_FUNC,ALPUC,EZP2P,USE_LPR,DDNS,DTON,NTOD,CDS_TABLE,VIDEO_CROP,VIDEO_VERTICAL,VIDEO_ROTATION,USE_GB28181,TELNET_ON,VPN_MODE_ON
OEM_FOCUS,IPC-2061,hi3516cv300,imx323,0,105,0,SONY_IMX323_CMOS_1080P_30FPS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,0,0,0,0,0,0,0
OEM_FOCUS,~IPC-2070_AF2812Y,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,1,0,0,0,0,0,0,0,0,0,yt2812fb_icr_jz,0,0,0,0,0,1,30,60,0,0,0,0,0,0,0
OEM_FOCUS,~IPC-2071_AF0550Y,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,yt30017db_ir_jz_3mp,0,0,0,0,0,1,30,60,0,0,0,0,0,0,0
OEM_FOCUS,~IPC-2071_AF2812_VPN,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,ir2812fb,0,0,0,0,0,1,30,60,0,0,0,0,0,1,1
OEM_FOCUS,~IPC-2071_AF2812Y,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,yt2812fb_icr_jz,0,0,0,0,0,1,30,60,0,0,0,0,0,0,0
OEM_FOCUS,~IPC-2071_AF2812Y2,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,yt2812fb_icr_jz_3mp_6,0,0,0,0,0,1,30,60,0,0,0,0,0,0,0
OEM_FOCUS,~IPC-2070_BX,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,1,1,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0
_FACTORY,FACTORY-2061,hi3516cv300,imx323,0,105,0,SONY_IMX323_CMOS_1080P_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,110,0,0,0,0,0,0,0
_FACTORY,FACTORY-2071,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,30,60,0,0,1,0,0,0,0
_FACTORY,FACTORY-2071_AF2712,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,2,0,1,1,1,1,1,1,0,0,yt3013db_ir_jz_a2,0,0,0,0,0,1,30,60,0,0,1,0,0,0,0
_FACTORY,FACTORY-5131,hi3516av200,imx335,.4G,111,0,SONY_IMX335_MIPI_5M_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_FACTORY,FACTORY-5131,hi3516av200,imx335,.4G,111,0,SONY_IMX335_MIPI_5M_30FPS,0,0,2,0,0,0,0,0,0,0,0,0,yt30028db_ir_jz_5mp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OEM_ADTCAPS,FIC-BM2IP-G,hi3516cv300,imx290,0,103,100,SONY_IMX290_MIPI_1080P_30FPS,CAPS_,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,"30,45,60,75,90,105,120,135,150,165,180,195",0,0,0,0,0,0
OEM_ADTCAPS,FIC-BM2IS-G,hi3516cv300,imx323,0,105,101,SONY_IMX323_CMOS_1080P_30FPS,CAPS_,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,110,"70,80,90,100,110,120,130,140,150,160,170,180",0,0,0,0,0,0
OEM_ADTCAPS,FIC-DM2IP-W,hi3516cv300,imx290,0,103,102,SONY_IMX290_MIPI_1080P_30FPS,CAPS_,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,75,"40,57,75,92,109,126,143,160,177,194,211,228",0,0,0,0,0,0
OEM_ADTCAPS,FIC-DM2IS-W,hi3516cv300,imx323,0,105,103,SONY_IMX323_CMOS_1080P_30FPS,CAPS_,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,140,"90,95,110,125,140,155,170,185,200,215,230,245",1,0,0,0,0,0
OEM_COMMAX,CNH-202L,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,1,1,1,1,1,1,1,1,0,1,yt2812fb_icr_jz,0,2,0,0,0,1,30,235,0,0,0,0,0,0,0
OEM_COMMAX,CNH-202R,hi3516cv300,imx323,0,105,0,SONY_IMX323_CMOS_1080P_30FPS,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,90,110,0,0,0,0,0,0,0
OEM_COMMAX,CNH-202RL,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,30,235,0,0,0,0,0,0,0
OEM_COMMAX,CNH-207R,hi3516cv300,imx323,0,105,0,SONY_IMX323_CMOS_1080P_30FPS,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,90,110,0,0,0,0,0,0,0
OEM_COMMAX,CNH-208RL,hi3516cv300,imx290,0,103,0,SONY_IMX290_MIPI_1080P_30FPS,0,0,1,0,1,1,1,1,1,1,0,1,yt2812fb_icr_jz,0,1,0,0,0,1,30,235,0,0,0,0,0,0,0
